1474.590000,1.1290E-007,1474.590000,2.8010E-007,1474.590000,3.0920E-007,1474.590000,1.5310E-007,1474.590000,3.5040E-008,1474.590000,3.4450E-007,1474.590000,2.1150E-007,1474.590000,2.5220E-007,1474.590000,-2.8790E-007,1474.590000,7.1720E-008
1474.605000,2.9990E-007,1474.605000,1.4650E-007,1474.605000,-1.1890E-007,1474.605000,-1.4010E-008,1474.605000,4.9130E-007,1474.605000,-5.6060E-008,1474.605000,7.2550E-008,1474.605000,3.4450E-007,1474.605000,1.6530E-007,1474.605000,-2.2670E-008
1474.620000,1.7080E-007,1474.620000,-2.8690E-007,1474.620000,2.7660E-007,1474.620000,4.7590E-007,1474.620000,-5.1980E-007,1474.620000,-6.8020E-008,1474.620000,1.8530E-007,1474.620000,1.3810E-007,1474.620000,4.2030E-008,1474.620000,-9.2130E-008
1474.635000,3.4740E-007,1474.635000,1.8550E-008,1474.635000,3.3970E-007,1474.635000,6.7400E-008,1474.635000,1.3000E-007,1474.635000,-1.4510E-007,1474.635000,-1.9370E-007,1474.635000,-2.9660E-008,1474.635000,4.9190E-007,1474.635000,2.8510E-007
1474.650000,-3.0090E-008,1474.650000,5.6680E-008,1474.650000,-7.5640E-008,1474.650000,-2.7600E-008,1474.650000,-2.6850E-007,1474.650000,1.6980E-007,1474.650000,1.7350E-007,1474.650000,-1.1850E-007,1474.650000,-3.4470E-007,1474.650000,1.2960E-007
1474.665000,4.0540E-007,1474.665000,-3.2800E-007,1474.665000,2.0810E-007,1474.665000,1.8220E-007,1474.665000,3.3480E-007,1474.665000,-1.6610E-007,1474.665000,-3.8330E-008,1474.665000,-8.2450E-009,1474.665000,6.7940E-007,1474.665000,3.7500E-008
1474.680000,1.4010E-008,1474.680000,3.2860E-007,1474.680000,2.6570E-008,1474.680000,3.1720E-007,1474.680000,2.6370E-008,1474.680000,-1.2590E-007,1474.680000,-1.5720E-007,1474.680000,-2.4290E-007,1474.680000,-5.6540E-007,1474.680000,3.7910E-008
1474.695000,1.7700E-007,1474.695000,-6.8430E-008,1474.695000,5.7170E-007,1474.695000,3.5240E-008,1474.695000,-2.3780E-007,1474.695000,-4.1430E-008,1474.695000,1.4630E-007,1474.695000,1.1680E-007,1474.695000,-1.3660E-007,1474.695000,-1.6260E-007
1474.710000,7.5510E-008,1474.710000,7.2220E-009,1474.710000,-5.4880E-008,1474.710000,-1.5550E-007,1474.710000,3.3250E-007,1474.710000,2.9570E-007,1474.710000,2.7930E-007,1474.710000,-1.9100E-007,1474.710000,-6.2100E-008,1474.710000,4.3330E-008
1474.725000,5.8380E-008,1474.725000,-1.3650E-007,1474.725000,3.6930E-007,1474.725000,1.5060E-007,1474.725000,5.5080E-008,1474.725000,-1.3780E-007,1474.725000,-2.5340E-007,1474.725000,-6.3130E-008,1474.725000,3.5220E-007,1474.725000,-1.1050E-007
1474.740000,5.5080E-008,1474.740000,2.7000E-007,1474.740000,-2.7610E-007,1474.740000,7.7370E-008,1474.740000,1.6230E-007,1474.740000,-1.4150E-007,1474.740000,-1.8790E-007,1474.740000,8.8930E-008,1474.740000,-2.5100E-007,1474.740000,-2.5570E-008
1474.755000,1.8420E-007,1474.755000,2.6190E-007,1474.755000,1.0750E-007,1474.755000,3.2240E-007,1474.755000,-5.9410E-008,1474.755000,-2.3930E-008,1474.755000,-2.6560E-007,1474.755000,-2.7180E-007,1474.755000,5.6940E-008,1474.755000,2.6230E-007
1474.770000,3.1350E-008,1474.770000,9.2020E-008,1474.770000,1.0230E-007,1474.770000,-9.9850E-008,1474.770000,1.4420E-007,1474.770000,6.7460E-008,1474.770000,2.4470E-007,1474.770000,1.6210E-007,1474.770000,2.2690E-008,1474.770000,-3.4510E-007
1474.785000,3.9670E-007,1474.785000,1.6670E-007,1474.785000,-3.6310E-008,1474.785000,7.8810E-008,1474.785000,3.7060E-007,1474.785000,-1.9740E-007,1474.785000,-1.6400E-007,1474.785000,-3.7950E-008,1474.785000,-1.4380E-007,1474.785000,9.2020E-008
1474.800000,-2.8280E-007,1474.800000,-1.0790E-007,1474.800000,7.0960E-008,1474.800000,4.9920E-008,1474.800000,-5.0670E-007,1474.800000,1.6540E-007,1474.800000,2.2110E-007,1474.800000,3.0950E-008,1474.800000,8.7890E-008,1474.800000,-4.0840E-007
1474.815000,1.2560E-007,1474.815000,-1.5470E-008,1474.815000,-7.1390E-008,1474.815000,3.0660E-007,1474.815000,2.4530E-007,1474.815000,-6.3540E-008,1474.815000,-3.9240E-007,1474.815000,2.1780E-007,1474.815000,-2.2470E-007,1474.815000,-1.5880E-008
1474.830000,-5.1580E-009,1474.830000,5.6110E-008,1474.830000,-1.3040E-007,1474.830000,-2.6820E-009,1474.830000,1.6130E-007,1474.830000,-2.1720E-007,1474.830000,1.4340E-007,1474.830000,2.3930E-008,1474.830000,2.4550E-007,1474.830000,7.7980E-008
1474.845000,1.2330E-007,1474.845000,1.7470E-007,1474.845000,4.0820E-007,1474.845000,2.0130E-007,1474.845000,2.0390E-007,1474.845000,2.2270E-007,1474.845000,-2.0410E-007,1474.845000,2.3720E-008,1474.845000,-2.0970E-007,1474.845000,-4.9090E-008
1474.860000,1.4690E-007,1474.860000,-4.9520E-008,1474.860000,4.3730E-008,1474.860000,-2.6580E-007,1474.860000,1.9840E-007,1474.860000,8.9330E-008,1474.860000,6.2510E-008,1474.860000,2.4310E-007,1474.860000,1.2380E-007,1474.860000,1.1760E-008
1474.875000,-1.2170E-008,1474.875000,4.5590E-007,1474.875000,-1.8690E-007,1474.875000,2.4700E-007,1474.875000,-4.1870E-008,1474.875000,-2.7020E-008,1474.875000,-1.0350E-007,1474.875000,-3.7280E-007,1474.875000,-2.2110E-007,1474.875000,1.1120E-007
1474.890000,1.0890E-007,1474.890000,1.0720E-007,1474.890000,5.7590E-007,1474.890000,-2.0710E-007,1474.890000,2.3990E-007,1474.890000,-3.7140E-009,1474.890000,6.1680E-008,1474.890000,1.3370E-007,1474.890000,2.1500E-007,1474.890000,2.3420E-007
1474.905000,-1.8150E-008,1474.905000,2.9050E-007,1474.905000,4.5590E-008,1474.905000,1.3980E-007,1474.905000,9.7180E-008,1474.905000,-2.9250E-007,1474.905000,-1.0930E-007,1474.905000,-2.1520E-007,1474.905000,-8.9760E-008,1474.905000,-1.5660E-007
1474.920000,3.0950E-008,1474.920000,6.3050E-007,1474.920000,-9.9240E-008,1474.920000,-2.0890E-007,1474.920000,8.5200E-008,1474.920000,9.1390E-008,1474.920000,3.6370E-007,1474.920000,-1.0250E-007,1474.920000,3.3410E-007,1474.920000,6.0040E-008
1474.935000,4.1300E-007,1474.935000,3.2000E-007,1474.935000,2.2960E-007,1474.935000,4.0940E-007,1474.935000,4.3930E-008,1474.935000,2.0730E-007,1474.935000,-1.1180E-007,1474.935000,-2.6400E-008,1474.935000,-1.3220E-007,1474.935000,-2.8380E-007
1474.950000,-3.2100E-007,1474.950000,-2.3500E-008,1474.950000,1.0230E-007,1474.950000,1.1070E-007,1474.950000,-1.5020E-007,1474.950000,-2.7570E-007,1474.950000,8.8720E-009,1474.950000,-3.0720E-008,1474.950000,4.7860E-008,1474.950000,-1.3860E-007
1474.965000,5.0850E-007,1474.965000,2.5380E-007,1474.965000,2.7120E-007,1474.965000,-1.8900E-007,1474.965000,3.1190E-007,1474.965000,-1.5040E-007,1474.965000,6.1900E-009,1474.965000,2.2270E-008,1474.965000,-6.7260E-008,1474.965000,-3.1720E-007
1474.980000,2.6700E-007,1474.980000,-9.2220E-008,1474.980000,-2.1010E-007,1474.980000,1.2440E-007,1474.980000,7.5920E-008,1474.980000,-2.7220E-008,1474.980000,9.2430E-008,1474.980000,6.4570E-008,1474.980000,8.9130E-008,1474.980000,-3.3010E-009
1474.995000,1.1920E-007,1474.995000,1.4440E-009,1474.995000,6.1840E-007,1474.995000,-2.6600E-008,1474.995000,-3.7140E-008,1474.995000,2.5750E-007,1474.995000,1.2790E-007,1474.995000,-6.8090E-008,1474.995000,-2.2470E-007,1474.995000,3.0140E-007
1475.010000,1.4030E-007,1475.010000,-1.4440E-008,1475.010000,-9.8210E-008,1475.010000,1.8880E-007,1475.010000,3.1980E-007,1475.010000,-2.4570E-007,1475.010000,-1.5630E-007,1475.010000,-2.1030E-008,1475.010000,9.2020E-008,1475.010000,-2.4170E-007
1475.025000,-3.6250E-007,1475.025000,2.6250E-007,1475.025000,-1.3430E-007,1475.025000,-4.1870E-007,1475.025000,1.1300E-007,1475.025000,1.8480E-007,1475.025000,-9.4910E-008,1475.025000,-2.4330E-008,1475.025000,-8.5200E-008,1475.025000,1.2540E-007
1475.040000,8.1380E-007,1475.040000,1.5390E-007,1475.040000,4.4660E-007,1475.040000,2.8800E-007,1475.040000,-1.0040E-007,1475.040000,-4.6710E-007,1475.040000,6.1900E-010,1475.040000,-6.7660E-008,1475.040000,2.4010E-007,1475.040000,1.5630E-007
1475.055000,1.7510E-007,1475.055000,-9.4290E-008,1475.055000,-5.3850E-008,1475.055000,-9.0160E-008,1475.055000,2.2470E-008,1475.055000,2.7120E-007,1475.055000,8.7890E-008,1475.055000,2.1180E-007,1475.055000,1.7740E-007,1475.055000,-6.1680E-008
1475.070000,1.0950E-007,1475.070000,1.4480E-007,1475.070000,-1.7470E-007,1475.070000,1.1780E-007,1475.070000,-1.3390E-007,1475.070000,-7.7150E-008,1475.070000,2.1360E-007,1475.070000,-3.5070E-008,1475.070000,-1.5120E-007,1475.070000,-1.8360E-007
1475.085000,-2.2570E-007,1475.085000,2.8520E-007,1475.085000,9.5720E-008,1475.085000,3.1900E-007,1475.085000,-2.3360E-007,1475.085000,1.4440E-009,1475.085000,1.1590E-007,1475.085000,-2.5870E-007,1475.085000,-5.4450E-008,1475.085000,6.8090E-008
1475.100000,4.4950E-007,1475.100000,4.0900E-007,1475.100000,-1.9600E-008,1475.100000,-2.3360E-007,1475.100000,2.8760E-007,1475.100000,-1.1340E-008,1475.100000,1.0310E-009,1475.100000,1.4750E-007,1475.100000,-2.1030E-007,1475.100000,1.1140E-008
1475.115000,-6.7260E-008,1475.115000,-2.5910E-007,1475.115000,1.5900E-007,1475.115000,-8.3970E-008,1475.115000,-1.7290E-007,1475.115000,-2.9150E-007,1475.115000,-3.0300E-007,1475.115000,-1.2810E-007,1475.115000,4.6910E-007,1475.115000,-3.0320E-007
1475.130000,-3.2140E-007,1475.130000,3.5920E-007,1475.130000,9.9240E-008,1475.130000,2.6620E-007,1475.130000,4.0760E-007,1475.130000,9.6980E-008,1475.130000,-3.1330E-007,1475.130000,1.2520E-007,1475.130000,-3.4690E-007,1475.130000,4.9170E-007
1475.145000,3.0440E-007,1475.145000,-2.4860E-007,1475.145000,2.6110E-007,1475.145000,-3.4080E-007,1475.145000,2.6820E-008,1475.145000,-4.7230E-008,1475.145000,-4.0640E-008,1475.145000,-4.1260E-008,1475.145000,-1.3570E-007,1475.145000,-3.9440E-007
1475.160000,1.6090E-008,1475.160000,4.0330E-007,1475.160000,3.7950E-008,1475.160000,-5.2190E-008,1475.160000,1.1340E-007,1475.160000,4.9300E-008,1475.160000,1.3260E-007,1475.160000,-1.7140E-007,1475.160000,4.6280E-007,1475.160000,8.4800E-008
1475.175000,4.8790E-007,1475.175000,9.9850E-008,1475.175000,6.5800E-007,1475.175000,1.5840E-007,1475.175000,2.7570E-007,1475.175000,2.3720E-008,1475.175000,2.5690E-007,1475.175000,-6.1900E-010,1475.175000,-2.0090E-007,1475.175000,-2.9030E-007
1475.190000,4.6630E-007,1475.190000,2.8260E-007,1475.190000,-2.3460E-007,1475.190000,2.4610E-007,1475.190000,4.7330E-007,1475.190000,-1.3220E-007,1475.190000,1.5200E-007,1475.190000,-2.5020E-007,1475.190000,2.0220E-008,1475.190000,-1.1840E-007
1475.205000,-1.7530E-008,1475.205000,-3.5680E-008,1475.205000,8.5410E-008,1475.205000,-3.5200E-007,1475.205000,-2.2510E-007,1475.205000,2.6740E-007,1475.205000,5.3220E-008,1475.205000,-3.2160E-007,1475.205000,-3.6110E-008,1475.205000,1.7410E-007
1475.220000,2.6620E-007,1475.220000,1.3140E-007,1475.220000,-9.8410E-008,1475.220000,3.7180E-007,1475.220000,6.1270E-008,1475.220000,1.5920E-007,1475.220000,-8.0250E-008,1475.220000,-8.9960E-008,1475.220000,-4.0640E-008,1475.220000,-2.1860E-007
1475.235000,2.2980E-007,1475.235000,2.4800E-007,1475.235000,6.4570E-008,1475.235000,3.6870E-007,1475.235000,3.2180E-008,1475.235000,5.3220E-008,1475.235000,1.1400E-007,1475.235000,1.2750E-007,1475.235000,-6.7870E-008,1475.235000,3.7780E-007
1475.250000,1.3100E-007,1475.250000,-3.2220E-007,1475.250000,3.2790E-007,1475.250000,8.6030E-008,1475.250000,-1.4070E-007,1475.250000,3.4850E-008,1475.250000,-1.8570E-008,1475.250000,-1.4520E-007,1475.250000,2.6400E-007,1475.250000,2.5990E-008
1475.265000,2.8660E-008,1475.265000,6.0770E-007,1475.265000,-9.5720E-008,1475.265000,-5.5710E-009,1475.265000,2.3300E-008,1475.265000,6.8290E-008,1475.265000,-3.8430E-007,1475.265000,2.8300E-007,1475.265000,1.6500E-008,1475.265000,-1.3670E-007
1475.280000,5.1160E-007,1475.280000,-1.5510E-007,1475.280000,8.8720E-008,1475.280000,2.9190E-007,1475.280000,-4.7450E-008,1475.280000,-4.3670E-007,1475.280000,5.4680E-008,1475.280000,-9.2430E-008,1475.280000,-1.8090E-007,1475.280000,1.5880E-007
1475.295000,1.8690E-007,1475.295000,-6.2510E-008,1475.295000,3.5070E-009,1475.295000,2.1240E-008,1475.295000,1.9020E-007,1475.295000,2.1200E-007,1475.295000,1.7530E-008,1475.295000,1.2730E-007,1475.295000,1.8050E-007,1475.295000,-2.9310E-007
1475.310000,-2.6900E-007,1475.310000,3.8170E-008,1475.310000,-1.9000E-007,1475.310000,4.9110E-007,1475.310000,-2.9750E-007,1475.310000,-1.7970E-007,1475.310000,3.6310E-007,1475.310000,-7.1790E-008,1475.310000,-3.4450E-008,1475.310000,-1.7660E-007
1475.325000,2.2110E-007,1475.325000,2.7550E-007,1475.325000,-5.7770E-009,1475.325000,-7.4680E-008,1475.325000,-2.9110E-007,1475.325000,3.4240E-007,1475.325000,-2.0710E-007,1475.325000,-3.1350E-008,1475.325000,1.0370E-007,1475.325000,9.9040E-008
1475.340000,-1.4450E-007,1475.340000,4.4400E-008,1475.340000,-9.2520E-008,1475.340000,-1.4450E-007,1475.340000,1.9410E-007,1475.340000,-1.1970E-007,1475.340000,6.4840E-008,1475.340000,-2.4980E-008,1475.340000,-7.7860E-008,1475.340000,1.3250E-007
1475.355000,4.0800E-007,1475.355000,-7.5160E-008,1475.355000,2.8770E-007,1475.355000,3.0090E-007,1475.355000,6.2770E-008,1475.355000,-2.4360E-008,1475.355000,2.3490E-007,1475.355000,-1.1130E-007,1475.355000,2.3490E-007,1475.355000,-1.7960E-007
1475.370000,2.5980E-007,1475.370000,1.8210E-007,1475.370000,4.3150E-008,1475.370000,8.1580E-008,1475.370000,-1.5690E-007,1475.370000,8.4460E-008,1475.370000,-2.6520E-007,1475.370000,5.2040E-008,1475.370000,8.9010E-008,1475.370000,1.0120E-007
1475.385000,9.5010E-009,1475.385000,2.4440E-007,1475.385000,4.3150E-008,1475.385000,5.4140E-007,1475.385000,7.1030E-008,1475.385000,-2.4720E-007,1475.385000,2.6700E-007,1475.385000,-1.9620E-008,1475.385000,2.7470E-007,1475.385000,6.0100E-008
1475.400000,2.4230E-007,1475.400000,-5.5540E-008,1475.400000,3.2290E-007,1475.400000,-1.0180E-007,1475.400000,-1.8170E-008,1475.400000,7.4210E-007,1475.400000,-3.7170E-008,1475.400000,2.3280E-007,1475.400000,-3.5700E-007,1475.400000,2.6140E-007
1475.415000,2.4150E-007,1475.415000,2.2780E-007,1475.415000,-2.3830E-007,1475.415000,4.0740E-007,1475.415000,1.9590E-007,1475.415000,-1.9410E-007,1475.415000,-3.0010E-007,1475.415000,-1.2200E-007,1475.415000,-1.4020E-007,1475.415000,-5.5160E-007
1475.430000,4.0470E-007,1475.430000,2.7780E-007,1475.430000,-2.3280E-007,1475.430000,7.5160E-008,1475.430000,-2.0250E-007,1475.430000,1.4950E-007,1475.430000,2.4820E-007,1475.430000,-9.4580E-008,1475.430000,-3.9240E-007,1475.430000,5.5660E-007
1475.445000,9.1480E-008,1475.445000,1.6000E-007,1475.445000,1.6520E-008,1475.445000,-7.9090E-008,1475.445000,1.9510E-007,1475.445000,1.9000E-008,1475.445000,1.6870E-007,1475.445000,-4.3050E-007,1475.445000,3.8880E-007,1475.445000,-1.5860E-007
1475.460000,2.4150E-007,1475.460000,-2.8990E-007,1475.460000,4.1490E-007,1475.460000,5.0010E-007,1475.460000,-1.9100E-007,1475.460000,4.2340E-008,1475.460000,-2.8550E-007,1475.460000,1.2570E-007,1475.460000,1.6930E-007,1475.460000,-3.3060E-007
1475.475000,3.6200E-007,1475.475000,4.2280E-007,1475.475000,-2.1340E-007,1475.475000,-3.3100E-007,1475.475000,2.4210E-007,1475.475000,-4.2160E-007,1475.475000,3.1590E-007,1475.475000,-8.0550E-009,1475.475000,-2.0030E-007,1475.475000,-1.5800E-007
1475.490000,-1.4490E-007,1475.490000,7.9720E-008,1475.490000,-1.5070E-007,1475.490000,3.8940E-007,1475.490000,1.6520E-009,1475.490000,1.7800E-007,1475.490000,-3.3210E-007,1475.490000,1.2640E-007,1475.490000,-1.6110E-007,1475.490000,3.7090E-007
1475.505000,2.9220E-007,1475.505000,-1.1110E-007,1475.505000,6.0930E-007,1475.505000,1.5750E-007,1475.505000,3.2920E-007,1475.505000,4.0820E-007,1475.505000,-3.1750E-007,1475.505000,-4.4180E-007,1475.505000,-8.0950E-008,1475.505000,-1.6130E-007
1475.520000,-9.7880E-008,1475.520000,-6.1960E-010,1475.520000,-2.9720E-008,1475.520000,-1.2990E-007,1475.520000,2.8490E-008,1475.520000,-6.0680E-007,1475.520000,4.5980E-007,1475.520000,3.5680E-007,1475.520000,1.1150E-008,1475.520000,-5.8030E-008
1475.535000,1.1150E-007,1475.535000,2.6850E-009,1475.535000,-1.4530E-007,1475.535000,1.4530E-007,1475.535000,2.2880E-007,1475.535000,4.7360E-007,1475.535000,-2.3750E-007,1475.535000,-1.4490E-007,1475.535000,-4.0270E-008,1475.535000,3.7780E-008
1475.550000,7.6420E-008,1475.550000,4.1240E-007,1475.550000,-1.5900E-008,1475.550000,2.6990E-007,1475.550000,-2.1700E-007,1475.550000,1.7840E-007,1475.550000,1.8170E-008,1475.550000,6.4630E-008,1475.550000,-1.5050E-007,1475.550000,7.0220E-008
1475.565000,1.5110E-007,1475.565000,1.5750E-007,1475.565000,3.2070E-007,1475.565000,-6.7330E-008,1475.565000,1.4660E-007,1475.565000,8.5490E-008,1475.565000,2.1360E-007,1475.565000,-9.2940E-008,1475.565000,1.1520E-007,1475.565000,-2.5150E-007
1475.580000,2.4820E-007,1475.580000,4.2180E-007,1475.580000,3.8410E-007,1475.580000,9.6650E-008,1475.580000,3.3850E-007,1475.580000,-1.2450E-007,1475.580000,9.9140E-008,1475.580000,-6.8160E-008,1475.580000,-1.3130E-007,1475.580000,-1.0180E-007
1475.595000,4.6250E-008,1475.595000,-3.8270E-007,1475.595000,-1.2220E-007,1475.595000,-2.3490E-007,1475.595000,-2.6160E-007,1475.595000,-1.4290E-007,1475.595000,-3.2210E-007,1475.595000,2.4680E-007,1475.595000,2.1300E-007,1475.595000,1.9620E-008
1475.610000,-4.2740E-008,1475.610000,1.3150E-007,1475.610000,-5.2240E-008,1475.610000,1.0530E-007,1475.610000,-5.7000E-008,1475.610000,-7.5390E-008,1475.610000,2.3180E-007,1475.610000,-3.2420E-008,1475.610000,-1.8150E-007,1475.610000,-1.1500E-007
1475.625000,2.6200E-007,1475.625000,-2.8670E-007,1475.625000,3.8610E-008,1475.625000,-7.0220E-009,1475.625000,-2.5410E-007,1475.625000,-2.2270E-007,1475.625000,-8.2190E-008,1475.625000,-1.5670E-007,1475.625000,1.2610E-007,1475.625000,-3.6750E-008
1475.640000,2.5060E-007,1475.640000,4.8290E-007,1475.640000,-1.1440E-007,1475.640000,-3.0470E-007,1475.640000,2.5940E-007,1475.640000,3.3000E-007,1475.640000,-1.1520E-007,1475.640000,3.8690E-007,1475.640000,-3.9360E-007,1475.640000,7.4560E-008
1475.655000,-1.0320E-007,1475.655000,-2.2900E-007,1475.655000,2.3510E-007,1475.655000,1.3610E-007,1475.655000,3.9300E-007,1475.655000,-3.1320E-007,1475.655000,2.8950E-007,1475.655000,-5.4930E-008,1475.655000,2.5810E-008,1475.655000,-1.2140E-007
1475.670000,3.9200E-007,1475.670000,5.7320E-007,1475.670000,-7.5160E-008,1475.670000,1.9000E-008,1475.670000,2.0590E-007,1475.670000,6.1390E-007,1475.670000,-2.2070E-007,1475.670000,-4.5640E-008,1475.670000,-3.3790E-007,1475.670000,-9.5010E-009
1475.685000,1.2590E-008,1475.685000,-1.6500E-007,1475.685000,5.5200E-007,1475.685000,-2.9520E-008,1475.685000,-1.6640E-007,1475.685000,-4.9970E-008,1475.685000,2.7720E-007,1475.685000,-9.7280E-008,1475.685000,3.1180E-008,1475.685000,-3.2210E-008
1475.700000,8.8590E-008,1475.700000,2.4420E-007,1475.700000,-1.0320E-008,1475.700000,-1.1170E-007,1475.700000,1.7010E-007,1475.700000,5.5760E-008,1475.700000,-1.1130E-007,1475.700000,-2.2940E-007,1475.700000,9.6650E-008,1475.700000,3.1540E-007
1475.715000,1.7510E-007,1475.715000,1.1560E-007,1475.715000,-2.3100E-007,1475.715000,-1.2590E-008,1475.715000,1.9660E-007,1475.715000,-1.2880E-007,1475.715000,3.6140E-007,1475.715000,3.4560E-007,1475.715000,-3.4400E-007,1475.715000,-3.5430E-007
1475.730000,6.2060E-007,1475.730000,1.6000E-007,1475.730000,5.2830E-007,1475.730000,1.2740E-007,1475.730000,-1.3480E-007,1475.730000,1.6540E-007,1475.730000,-1.7080E-007,1475.730000,-1.9240E-007,1475.730000,3.6890E-007,1475.730000,1.8270E-007
1475.745000,3.5640E-007,1475.745000,-1.4680E-007,1475.745000,-1.1930E-007,1475.745000,-1.2590E-007,1475.745000,8.2620E-008,1475.745000,-1.4000E-007,1475.745000,1.9680E-007,1475.745000,3.5110E-008,1475.745000,-4.2740E-008,1475.745000,-8.1360E-008
1475.760000,-2.1080E-007,1475.760000,2.8910E-007,1475.760000,-2.6020E-007,1475.760000,1.4970E-007,1475.760000,-9.7480E-008,1475.760000,-1.1250E-007,1475.760000,1.7350E-007,1475.760000,-2.6260E-007,1475.760000,1.4350E-007,1475.760000,-1.4140E-007
1475.775000,1.6580E-007,1475.775000,-1.7800E-007,1475.775000,1.5030E-007,1475.775000,-1.5530E-007,1475.775000,-1.1150E-008,1475.775000,1.7100E-007,1475.775000,-8.8810E-008,1475.775000,1.2590E-007,1475.775000,2.9640E-007,1475.775000,-5.2160E-007
1475.790000,2.4300E-007,1475.790000,1.7240E-007,1475.790000,8.7560E-008,1475.790000,1.4930E-007,1475.790000,3.1870E-007,1475.790000,3.1670E-007,1475.790000,5.9670E-008,1475.790000,4.7700E-008,1475.790000,-1.7610E-007,1475.790000,-4.0470E-008
1475.805000,-8.0950E-008,1475.805000,9.7480E-008,1475.805000,7.5160E-008,1475.805000,8.6120E-008,1475.805000,1.3670E-007,1475.805000,-2.6260E-007,1475.805000,1.0220E-007,1475.805000,3.4320E-007,1475.805000,1.7720E-007,1475.805000,2.0930E-007
1475.820000,4.3450E-007,1475.820000,3.0050E-007,1475.820000,2.1120E-007,1475.820000,1.4990E-007,1475.820000,-2.1800E-007,1475.820000,-1.4220E-007,1475.820000,-5.0600E-008,1475.820000,-2.5610E-007,1475.820000,9.3150E-008,1475.820000,-1.8070E-007
1475.835000,3.6180E-007,1475.835000,2.8140E-007,1475.835000,-5.3700E-009,1475.835000,7.9290E-008,1475.835000,-3.5660E-007,1475.835000,3.4480E-007,1475.835000,9.7480E-008,1475.835000,-8.2620E-009,1475.835000,-5.2870E-008,1475.835000,-9.1690E-008
1475.850000,-2.4780E-008,1475.850000,9.2940E-008,1475.850000,6.0100E-008,1475.850000,1.1230E-007,1475.850000,4.3570E-008,1475.850000,2.6180E-007,1475.850000,2.1460E-008,1475.850000,2.6930E-007,1475.850000,-1.2220E-007,1475.850000,7.4760E-008
1475.865000,4.3370E-009,1475.865000,-1.9490E-007,1475.865000,-1.4410E-007,1475.865000,3.7380E-007,1475.865000,4.4610E-008,1475.865000,-3.8530E-007,1475.865000,9.8710E-008,1475.865000,-9.8920E-008,1475.865000,3.2980E-007,1475.865000,-3.5110E-007
1475.880000,6.6500E-008,1475.880000,-8.7350E-008,1475.880000,6.6090E-009,1475.880000,9.3350E-008,1475.880000,4.4690E-007,1475.880000,3.8510E-007,1475.880000,5.7610E-008,1475.880000,-1.4080E-007,1475.880000,-1.7590E-007,1475.880000,9.2940E-008
